atom_number,atom_id,atom_name,collection_number,series_number,series_name,therapeutic_jobs,physics_tags,primary_differentiation_axis,sensor_escalation,closure_upgrade,occupancy_upgrade,cluster_rule
595,confluence-merge,The Confluence Merge Engine,6,60,The Eternal River,identity | release | connection,fluid | gravitational | thermal,"Change destination law: orbit, drop, levitate, anchor, escape","Candidate for secondary sensor channel: breath, microphone, or gyroscope if it deepens the law",Protect state morph but vary the aftermath so endings do not all feel like the same morph,"Use depth, pressure, or materiality so the atom commands the whole phone","Differentiate drag atoms by counterforce and destination law, not by visual object theme."
604,escalation-cool,The Escalation Cool Engine,7,61,The Aikido Redirect,regulation | release,thermal | network,"Change propagation law: local pull, cascade, routing, field recruitment","Candidate for secondary sensor channel: breath, microphone, or gyroscope if it deepens the law",Push the field recompose harder so the whole environment visibly reorganizes,"Use depth, pressure, or materiality so the atom commands the whole phone","Differentiate drag atoms by counterforce and destination law, not by visual object theme."
632,gravity-assist-slingshot,The Gravity Assist Engine,7,64,The Momentum Theft,agency | boundary | regulation,gravitational | network | temporal,"Change destination law: orbit, drop, levitate, anchor, escape","Candidate for secondary sensor channel: breath, microphone, or gyroscope if it deepens the law",Protect state morph but vary the aftermath so endings do not all feel like the same morph,"Use depth, pressure, or materiality so the atom commands the whole phone","Differentiate drag atoms by counterforce and destination law, not by visual object theme."
634,gear-reversal-flip,The Gear Reversal Engine,7,64,The Momentum Theft,boundary | agency | regulation,gravitational | network | thermal,"Change destination law: orbit, drop, levitate, anchor, escape","Candidate for secondary sensor channel: breath, microphone, or gyroscope if it deepens the law",Protect state morph but vary the aftermath so endings do not all feel like the same morph,"Use depth, pressure, or materiality so the atom commands the whole phone","Differentiate drag atoms by counterforce and destination law, not by visual object theme."
639,slipstream-draft,The Slipstream Draft Engine,7,64,The Momentum Theft,agency | regulation | release,gravitational | fluid | network,"Change destination law: orbit, drop, levitate, anchor, escape","Candidate for secondary sensor channel: breath, microphone, or gyroscope if it deepens the law",Protect state morph but vary the aftermath so endings do not all feel like the same morph,"Use depth, pressure, or materiality so the atom commands the whole phone","Differentiate drag atoms by counterforce and destination law, not by visual object theme."
641,aerodynamic-draft,The Aerodynamic Draft Engine,7,65,The Slipstream,identity | boundary | release,gravitational | network | structural,"Change destination law: orbit, drop, levitate, anchor, escape","Candidate for secondary sensor channel: breath, microphone, or gyroscope if it deepens the law",Push the field recompose harder so the whole environment visibly reorganizes,"Use depth, pressure, or materiality so the atom commands the whole phone","Differentiate drag atoms by counterforce and destination law, not by visual object theme."
643,thermal-updraft-lift,The Thermal Updraft Engine,7,65,The Slipstream,boundary | identity | agency,structural | fluid | network,"Change propagation law: local pull, cascade, routing, field recruitment","Candidate for secondary sensor channel: breath, microphone, or gyroscope if it deepens the law",Push the field recompose harder so the whole environment visibly reorganizes,"Use depth, pressure, or materiality so the atom commands the whole phone","Differentiate drag atoms by counterforce and destination law, not by visual object theme."
645,bow-wave-surf,The Bow Wave Engine,7,65,The Slipstream,boundary | identity | agency,gravitational | structural | fluid,"Change destination law: orbit, drop, levitate, anchor, escape","Candidate for secondary sensor channel: breath, microphone, or gyroscope if it deepens the law",Push the field recompose harder so the whole environment visibly reorganizes,"Use depth, pressure, or materiality so the atom commands the whole phone","Differentiate drag atoms by counterforce and destination law, not by visual object theme."
646,wake-ride-pioneer,The Wake Ride Engine,7,65,The Slipstream,boundary | identity | agency,fluid | gravitational | structural,"Change destination law: orbit, drop, levitate, anchor, escape","Candidate for secondary sensor channel: breath, microphone, or gyroscope if it deepens the law",Push the field recompose harder so the whole environment visibly reorganizes,"Use depth, pressure, or materiality so the atom commands the whole phone","Differentiate drag atoms by counterforce and destination law, not by visual object theme."
647,capillary-action-rise,The Capillary Action Engine,7,65,The Slipstream,boundary | agency | identity,structural | gravitational | fluid,"Change destination law: orbit, drop, levitate, anchor, escape","Candidate for secondary sensor channel: breath, microphone, or gyroscope if it deepens the law",Push the field recompose harder so the whole environment visibly reorganizes,"Use depth, pressure, or materiality so the atom commands the whole phone","Differentiate drag atoms by counterforce and destination law, not by visual object theme."
651,rotational-boundary,The Rotational Boundary Engine,7,66,The Centrifuge,regulation | boundary,gravitational | network,"Change destination law: orbit, drop, levitate, anchor, escape","Candidate for secondary sensor channel: breath, microphone, or gyroscope if it deepens the law",Upgrade closure into a stronger threshold morph or field aftermath,"Use depth, pressure, or materiality so the atom commands the whole phone","Differentiate drag atoms by counterforce and destination law, not by visual object theme."
656,orbital-deflection,The Orbital Deflection Engine,7,66,The Centrifuge,boundary | regulation,gravitational | network | structural,"Change destination law: orbit, drop, levitate, anchor, escape","Candidate for secondary sensor channel: breath, microphone, or gyroscope if it deepens the law",Upgrade closure into a stronger threshold morph or field aftermath,"Use depth, pressure, or materiality so the atom commands the whole phone","Differentiate drag atoms by counterforce and destination law, not by visual object theme."
658,expanding-radius,The Expanding Radius Engine,7,66,The Centrifuge,boundary | regulation,network | gravitational,"Change destination law: orbit, drop, levitate, anchor, escape","Candidate for secondary sensor channel: breath, microphone, or gyroscope if it deepens the law",Upgrade closure into a stronger threshold morph or field aftermath,"Use depth, pressure, or materiality so the atom commands the whole phone","Differentiate drag atoms by counterforce and destination law, not by visual object theme."
659,tether-snap-release,The Tether Snap Engine,7,66,The Centrifuge,boundary | connection | regulation,gravitational | acoustic | network,"Change destination law: orbit, drop, levitate, anchor, escape","Candidate for secondary sensor channel: breath, microphone, or gyroscope if it deepens the law",Upgrade closure into a stronger threshold morph or field aftermath,"Use depth, pressure, or materiality so the atom commands the whole phone","Differentiate drag atoms by counterforce and destination law, not by visual object theme."
660,apex-centrifuge,The Apex Centrifuge Engine,7,66,The Centrifuge,boundary | regulation,network | gravitational | optical,"Change destination law: orbit, drop, levitate, anchor, escape","Candidate for secondary sensor channel: breath, microphone, or gyroscope if it deepens the law",Upgrade closure into a stronger threshold morph or field aftermath,"Use depth, pressure, or materiality so the atom commands the whole phone","Differentiate drag atoms by counterforce and destination law, not by visual object theme."
665,meshed-gears-lock,The Meshed Gears Engine,7,67,The Harmonious Friction,boundary | connection | release,acoustic | gravitational | network,"Change destination law: orbit, drop, levitate, anchor, escape","Candidate for secondary sensor channel: breath, microphone, or gyroscope if it deepens the law",Upgrade closure into a stronger threshold morph or field aftermath,"Use depth, pressure, or materiality so the atom commands the whole phone","Differentiate drag atoms by counterforce and destination law, not by visual object theme."
675,slackline-balance,The Slackline Engine,7,68,The Counter-Balance,agency | regulation | temporal,gravitational | acoustic | fluid,"Change destination law: orbit, drop, levitate, anchor, escape","Candidate for secondary sensor channel: breath, microphone, or gyroscope if it deepens the law",Upgrade closure into a stronger threshold morph or field aftermath,"Use depth, pressure, or materiality so the atom commands the whole phone","Differentiate drag atoms by counterforce and destination law, not by visual object theme."
680,apex-equilibrium,The Apex Equilibrium Engine,7,68,The Counter-Balance,boundary | regulation | agency,gravitational | network,"Change destination law: orbit, drop, levitate, anchor, escape","Candidate for secondary sensor channel: breath, microphone, or gyroscope if it deepens the law",Upgrade closure into a stronger threshold morph or field aftermath,"Use depth, pressure, or materiality so the atom commands the whole phone","Differentiate drag atoms by counterforce and destination law, not by visual object theme."
