atom_number,atom_id,atom_name,collection_number,series_number,series_id,series_name,proposed_hero_grade,review_lane,signoff_status,ingest_readiness,dominant_verb_seed,counterforce_type_seed,semantic_neutrality_seed,resolution_class_seed,memory_trace_type_seed,approved_for_navicue,approved_for_journey,approved_for_insight,approved_for_practice,structural_score,triage_tier,heat_fit,navicue_fit,journey_fit,insight_fit,practice_fit,repetition_cluster_size,refinement_priority,refinement_reasons,matching_tags,signoff_notes,manual_hero_grade,manual_override_reason,reviewer,reviewed_at
146,pre-hindsight,The Pre-Hindsight Engine,2,15,time-capsule,The Time Capsule & Future Weaving,playable,composition-pass,seeded,hold,guide,pressure,high,field-recompose,reorientation,review,yes,yes,yes,7,composition-sensitive,low-heat,medium,high,high,high,87,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple | fit:insight-high | fit:journey-high | fit:navicue-medium | fit:practice-high | heat:low-heat | input:drag | job:boundary | job:focus | job:temporal | physics:fluid | physics:temporal | physics:thermal | resolution:field-recompose | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Manual review required before ingest because refinement priority is high.,,,,
147,branch-pruner,The Branch Pruner Engine,2,15,time-capsule,The Time Capsule & Future Weaving,playable,composition-pass,seeded,hold,redirect,entanglement,high,field-recompose,reorientation,review,review,review,yes,7,composition-sensitive,high-heat,medium,medium,medium,high,4,medium,"Quality likely depends on stronger composition, scale, and payoff.",complexity:simple | fit:insight-medium | fit:journey-medium | fit:navicue-medium | fit:practice-high | heat:high-heat | input:swipe | input:tap | job:boundary | job:focus | job:temporal | physics:fluid | physics:network | physics:temporal | resolution:field-recompose | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Ready for manual curation pass.,,,,
148,worst-case-simulator,The Worst-Case Simulator Engine,2,15,time-capsule,The Time Capsule & Future Weaving,playable,composition-pass,seeded,hold,guide,distortion,high,field-recompose,reorientation,review,yes,yes,yes,7,composition-sensitive,low-heat,medium,high,high,high,87,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple | fit:insight-high | fit:journey-high | fit:navicue-medium | fit:practice-high | heat:low-heat | input:drag | job:boundary | job:focus | job:temporal | physics:fluid | physics:optical | physics:temporal | resolution:field-recompose | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Manual review required before ingest because refinement priority is high.,,,,
149,ten-year-echo,The 10-Year Echo Engine,2,15,time-capsule,The Time Capsule & Future Weaving,hero-grade,hero-pass,seeded,curation-ready,speak,pressure,medium,seal,closure,yes,review,review,review,8,hero-candidate,low-heat,high,medium,medium,medium,1,low,,complexity:moderate | fit:insight-medium | fit:journey-medium | fit:navicue-high | fit:practice-medium | heat:low-heat | input:hold | input:voice | job:boundary | job:focus | job:temporal | physics:acoustic | physics:temporal | physics:thermal | resolution:seal | sensor:haptics | sensor:microphone | sensor:touch | sensor:visual,Seeded from structural audit. hero-pass with proposed grade hero-grade. Ready for manual curation pass.,,,,
150,capsule-seal,The Capsule Seal,2,15,time-capsule,The Time Capsule & Future Weaving,implemented,composition-pass,seeded,hold,guide,weight,high,seal,closure,review,review,review,yes,4,composition-sensitive,low-heat,medium,medium,medium,high,5,high,"Quality likely depends on stronger composition, scale, and payoff.",complexity:simple | fit:insight-medium | fit:journey-medium | fit:navicue-medium | fit:practice-high | heat:low-heat | input:drag | job:boundary | job:focus | job:temporal | physics:fluid | physics:gravitational | physics:temporal | resolution:seal | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade implemented. Manual review required before ingest because refinement priority is high.,,,,
151,skin-map,The Skin Map Engine,2,16,soma-perception,The Soma & Perception,playable,composition-pass,seeded,hold,trace,entanglement,high,loop,weight-shift,review,yes,yes,review,7,composition-sensitive,low-heat,medium,high,high,medium,1,high,"Quality likely depends on stronger composition, scale, and payoff. | No explicit resolution path; wrapper must carry closure.",complexity:simple | fit:insight-high | fit:journey-high | fit:navicue-medium | fit:practice-medium | heat:low-heat | input:breath | input:drag | input:draw | job:regulation | job:release | job:temporal | physics:gravitational | physics:network | physics:temporal | resolution:loop | sensor:breath | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Manual review required before ingest because refinement priority is high.,,,,
152,pulse-reader,The Pulse Reader Engine,2,16,soma-perception,The Soma & Perception,playable,composition-pass,seeded,hold,trigger,entanglement,high,loop,weight-shift,review,yes,yes,review,6,composition-sensitive,low-heat,medium,high,high,medium,1,high,"Quality likely depends on stronger composition, scale, and payoff. | No explicit resolution path; wrapper must carry closure.",complexity:simple | fit:insight-high | fit:journey-high | fit:navicue-medium | fit:practice-medium | heat:low-heat | input:observe | input:tap | job:regulation | job:release | job:temporal | physics:gravitational | physics:network | physics:temporal | resolution:loop | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Manual review required before ingest because refinement priority is high.,,,,
153,fascia-wave,The Fascia Wave Engine,2,16,soma-perception,The Soma & Perception,playable,composition-pass,seeded,hold,guide,entanglement,high,field-recompose,reorientation,review,review,review,yes,7,composition-sensitive,high-heat,medium,medium,medium,high,3,medium,"Quality likely depends on stronger composition, scale, and payoff.",complexity:simple | fit:insight-medium | fit:journey-medium | fit:navicue-medium | fit:practice-high | heat:high-heat | input:drag | input:hold | job:regulation | job:release | job:temporal | physics:gravitational | physics:network | physics:temporal | resolution:field-recompose | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Ready for manual curation pass.,,,,
154,proprioception,The Proprioception Engine,2,16,soma-perception,The Soma & Perception,signature,signature-pass,seeded,curation-ready,tilt,weight,high,field-recompose,reorientation,yes,yes,yes,review,9,hero-candidate,low-heat,signature,high,high,medium,3,low,,complexity:moderate | fit:insight-high | fit:journey-high | fit:navicue-signature | fit:practice-medium | heat:low-heat | input:observe | input:tilt | job:regulation | job:release | job:temporal | physics:fluid | physics:gravitational | physics:temporal | resolution:field-recompose | sensor:haptics | sensor:tilt | sensor:visual,Seeded from structural audit. signature-pass with proposed grade signature. Ready for manual curation pass.,,,,
155,micro-texture,The Micro-Texture Engine,2,16,soma-perception,The Soma & Perception,implemented,composition-pass,seeded,hold,guide,entanglement,high,loop,weight-shift,no,yes,yes,review,5,composition-sensitive,low-heat,low,high,high,medium,2,high,"Quality likely depends on stronger composition, scale, and payoff. | No explicit resolution path; wrapper must carry closure.",complexity:simple | fit:insight-high | fit:journey-high | fit:navicue-low | fit:practice-medium | heat:low-heat | input:drag | job:perspective | job:regulation | job:temporal | physics:gravitational | physics:network | physics:temporal | resolution:loop | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade implemented. Manual review required before ingest because refinement priority is high.,,,,
156,voice-box,The Voice Box Engine,2,16,soma-perception,The Soma & Perception,signature,signature-pass,seeded,curation-ready,speak,weight,medium,field-recompose,reorientation,yes,yes,yes,review,9,hero-candidate,low-heat,signature,high,high,medium,1,low,,complexity:moderate | fit:insight-high | fit:journey-high | fit:navicue-signature | fit:practice-medium | heat:low-heat | input:observe | input:voice | job:boundary | job:release | job:temporal | physics:acoustic | physics:gravitational | physics:temporal | resolution:field-recompose | sensor:haptics | sensor:microphone | sensor:visual,Seeded from structural audit. signature-pass with proposed grade signature. Ready for manual curation pass.,,,,
157,blind-walk,The Blind Walk Engine,2,16,soma-perception,The Soma & Perception,hero-grade,hero-pass,seeded,curation-ready,tilt,entanglement,high,field-recompose,reorientation,yes,review,yes,review,8,hero-candidate,low-heat,high,medium,high,medium,2,low,,complexity:moderate | fit:insight-high | fit:journey-medium | fit:navicue-high | fit:practice-medium | heat:low-heat | input:observe | input:tilt | job:boundary | job:regulation | job:temporal | physics:gravitational | physics:network | physics:temporal | resolution:field-recompose | sensor:haptics | sensor:tilt | sensor:visual,Seeded from structural audit. hero-pass with proposed grade hero-grade. Ready for manual curation pass.,,,,
158,temperature-scan,The Temperature Scan Engine,2,16,soma-perception,The Soma & Perception,hero-grade,hero-pass,seeded,curation-ready,guide,pressure,high,field-recompose,reorientation,yes,yes,yes,yes,8,hero-candidate,high-heat,high,high,high,high,3,low,,complexity:simple | fit:insight-high | fit:journey-high | fit:navicue-high | fit:practice-high | heat:high-heat | input:drag | input:tap | job:regulation | job:release | job:temporal | physics:gravitational | physics:temporal | physics:thermal | resolution:field-recompose | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. hero-pass with proposed grade hero-grade. Ready for manual curation pass.,,,,
159,gut-signal,The Gut Signal Engine,2,16,soma-perception,The Soma & Perception,playable,composition-pass,seeded,hold,trigger,entanglement,high,state-morph,transformation,review,review,review,yes,6,composition-sensitive,high-heat,medium,medium,medium,high,55,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple | fit:insight-medium | fit:journey-medium | fit:navicue-medium | fit:practice-high | heat:high-heat | input:tap | job:agency | job:release | job:temporal | physics:gravitational | physics:network | physics:temporal | resolution:state-morph | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Manual review required before ingest because refinement priority is high.,,,,
160,soma-seal,The Soma Seal,2,16,soma-perception,The Soma & Perception,playable,composition-pass,seeded,hold,hold,constraint,high,seal,closure,review,yes,yes,yes,6,composition-sensitive,low-heat,medium,high,high,high,1,medium,"Quality likely depends on stronger composition, scale, and payoff.",complexity:simple | fit:insight-high | fit:journey-high | fit:navicue-medium | fit:practice-high | heat:low-heat | input:breath | input:hold | job:regulation | job:release | job:temporal | physics:gravitational | physics:structural | physics:temporal | resolution:seal | sensor:breath | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Ready for manual curation pass.,,,,
161,mirror-shield,The Mirror Shield Engine,2,17,diplomat-empathy,The Diplomat & Social Physics II,playable,composition-pass,seeded,hold,trigger,constraint,high,field-recompose,reorientation,review,review,no,yes,6,composition-sensitive,high-heat,medium,medium,low,high,55,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple | fit:insight-low | fit:journey-medium | fit:navicue-medium | fit:practice-high | heat:high-heat | input:tap | job:boundary | job:focus | job:perspective | physics:gravitational | physics:structural | resolution:field-recompose | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Manual review required before ingest because refinement priority is high.,,,,
162,truce-table,The Truce Table Engine,2,17,diplomat-empathy,The Diplomat & Social Physics II,playable,composition-pass,seeded,hold,guide,constraint,high,field-recompose,reorientation,review,review,no,yes,6,composition-sensitive,broad,medium,medium,low,high,59,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple | fit:insight-low | fit:journey-medium | fit:navicue-medium | fit:practice-high | heat:broad | input:drag | job:boundary | job:focus | job:regulation | physics:gravitational | physics:structural | resolution:field-recompose | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Manual review required before ingest because refinement priority is high.,,,,
163,perspective-swap,The Perspective Swap Engine,2,17,diplomat-empathy,The Diplomat & Social Physics II,playable,composition-pass,seeded,hold,guide,constraint,high,field-recompose,reorientation,review,review,no,yes,6,composition-sensitive,broad,medium,medium,low,high,59,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple | fit:insight-low | fit:journey-medium | fit:navicue-medium | fit:practice-high | heat:broad | input:drag | job:boundary | job:focus | job:perspective | physics:gravitational | physics:structural | resolution:field-recompose | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Manual review required before ingest because refinement priority is high.,,,,
164,translation-ear,The Translation Ear Engine,2,17,diplomat-empathy,The Diplomat & Social Physics II,playable,composition-pass,seeded,hold,guide,constraint,high,field-recompose,reorientation,review,review,no,yes,6,composition-sensitive,broad,medium,medium,low,high,59,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple | fit:insight-low | fit:journey-medium | fit:navicue-medium | fit:practice-high | heat:broad | input:drag | job:boundary | job:focus | job:perspective | physics:acoustic | physics:gravitational | physics:structural | resolution:field-recompose | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Manual review required before ingest because refinement priority is high.,,,,
165,boundary-dance,The Boundary Dance Engine,2,17,diplomat-empathy,The Diplomat & Social Physics II,playable,composition-pass,seeded,hold,guide,constraint,high,field-recompose,reorientation,review,review,review,yes,6,composition-sensitive,broad,medium,medium,medium,high,4,medium,"Quality likely depends on stronger composition, scale, and payoff.",complexity:simple | fit:insight-medium | fit:journey-medium | fit:navicue-medium | fit:practice-high | heat:broad | input:drag | job:boundary | job:focus | job:identity | physics:gravitational | physics:structural | resolution:field-recompose | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Ready for manual curation pass.,,,,
166,third-chair,The Third Chair Engine,2,17,diplomat-empathy,The Diplomat & Social Physics II,playable,composition-pass,seeded,hold,reshape,constraint,high,field-recompose,reorientation,review,review,review,yes,7,composition-sensitive,broad,medium,medium,medium,high,5,medium,"Quality likely depends on stronger composition, scale, and payoff.",complexity:simple | fit:insight-medium | fit:journey-medium | fit:navicue-medium | fit:practice-high | heat:broad | input:drag | input:pinch | job:boundary | job:focus | job:perspective | physics:gravitational | physics:structural | resolution:field-recompose | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Ready for manual curation pass.,,,,
167,steel-man-build,The Steel Man Build Engine,2,17,diplomat-empathy,The Diplomat & Social Physics II,playable,composition-pass,seeded,hold,guide,entanglement,high,field-recompose,reorientation,review,review,review,yes,6,composition-sensitive,high-heat,medium,medium,medium,high,2,medium,"Quality likely depends on stronger composition, scale, and payoff.",complexity:simple | fit:insight-medium | fit:journey-medium | fit:navicue-medium | fit:practice-high | heat:high-heat | input:drag | input:tap | job:boundary | job:focus | job:perspective | physics:gravitational | physics:network | physics:structural | resolution:field-recompose | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Ready for manual curation pass.,,,,
168,de-escalation,The De-Escalation Engine,2,17,diplomat-empathy,The Diplomat & Social Physics II,signature,signature-pass,seeded,curation-ready,guide,constraint,high,state-morph,transformation,yes,yes,review,yes,9,hero-candidate,high-heat,signature,high,medium,high,1,low,,complexity:simple | fit:insight-medium | fit:journey-high | fit:navicue-signature | fit:practice-high | heat:high-heat | input:breath | input:drag | input:hold | job:boundary | job:focus | job:perspective | physics:gravitational | physics:structural | physics:thermal | resolution:state-morph | sensor:breath | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. signature-pass with proposed grade signature. Ready for manual curation pass.,,,,
169,mirror-neuron,The Mirror Neuron Engine,2,17,diplomat-empathy,The Diplomat & Social Physics II,hero-grade,hero-pass,seeded,curation-ready,witness,distortion,high,field-recompose,reorientation,yes,yes,yes,review,8,hero-candidate,low-heat,high,high,high,medium,1,low,,complexity:simple | fit:insight-high | fit:journey-high | fit:navicue-high | fit:practice-medium | heat:low-heat | input:observe | job:boundary | job:focus | job:perspective | physics:gravitational | physics:network | physics:optical | resolution:field-recompose | sensor:camera | sensor:haptics | sensor:visual,Seeded from structural audit. hero-pass with proposed grade hero-grade. Ready for manual curation pass.,,,,
170,common-ground-seal,The Common Ground Seal,2,17,diplomat-empathy,The Diplomat & Social Physics II,playable,composition-pass,seeded,hold,trigger,constraint,high,seal,closure,review,review,no,yes,6,composition-sensitive,high-heat,medium,medium,low,high,55,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple | fit:insight-low | fit:journey-medium | fit:navicue-medium | fit:practice-high | heat:high-heat | input:tap | job:boundary | job:focus | job:perspective | physics:gravitational | physics:structural | resolution:seal | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Manual review required before ingest because refinement priority is high.,,,,
171,essentialism,The Essentialism Engine,2,18,visionary-strategist,The Visionary & Strategist,playable,composition-pass,seeded,hold,guide,constraint,high,field-recompose,reorientation,review,review,no,yes,6,composition-sensitive,broad,medium,medium,low,high,59,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple | fit:insight-low | fit:journey-medium | fit:navicue-medium | fit:practice-high | heat:broad | input:drag | job:perspective | job:release | job:temporal | physics:structural | resolution:field-recompose | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Manual review required before ingest because refinement priority is high.,,,,
172,compound-interest,The Compound Interest Engine,2,18,visionary-strategist,The Visionary & Strategist,playable,composition-pass,seeded,hold,trigger,entanglement,high,field-recompose,reorientation,review,review,review,yes,6,composition-sensitive,high-heat,medium,medium,medium,high,55,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple | fit:insight-medium | fit:journey-medium | fit:navicue-medium | fit:practice-high | heat:high-heat | input:tap | job:agency | job:perspective | job:temporal | physics:network | physics:structural | physics:temporal | resolution:field-recompose | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Manual review required before ingest because refinement priority is high.,,,,
173,deep-work,The Deep Work Engine,2,18,visionary-strategist,The Visionary & Strategist,playable,composition-pass,seeded,hold,guide,distortion,high,seal,closure,review,review,review,yes,6,composition-sensitive,low-heat,medium,medium,medium,high,59,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple | fit:insight-medium | fit:journey-medium | fit:navicue-medium | fit:practice-high | heat:low-heat | input:drag | job:agency | job:boundary | job:perspective | physics:optical | physics:structural | resolution:seal | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Manual review required before ingest because refinement priority is high.,,,,
174,leverage-engine,The Leverage Engine,2,18,visionary-strategist,The Visionary & Strategist,playable,composition-pass,seeded,hold,guide,constraint,high,field-recompose,reorientation,review,review,no,yes,7,composition-sensitive,high-heat,medium,medium,low,high,11,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple | fit:insight-low | fit:journey-medium | fit:navicue-medium | fit:practice-high | heat:high-heat | input:drag | input:tap | job:agency | job:perspective | job:temporal | physics:gravitational | physics:structural | resolution:field-recompose | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Manual review required before ingest because refinement priority is high.,,,,
175,horizon-scan,The Horizon Scan Engine,2,18,visionary-strategist,The Visionary & Strategist,playable,composition-pass,seeded,hold,trace,distortion,high,loop,clarity,review,yes,yes,review,6,composition-sensitive,low-heat,medium,high,high,medium,1,high,"Quality likely depends on stronger composition, scale, and payoff. | No explicit resolution path; wrapper must carry closure.",complexity:simple | fit:insight-high | fit:journey-high | fit:navicue-medium | fit:practice-medium | heat:low-heat | input:draw | input:tap | job:agency | job:perspective | job:temporal | physics:optical | physics:structural | resolution:loop | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Manual review required before ingest because refinement priority is high.,,,,
176,obstacle-flip,The Obstacle Flip Engine,2,18,visionary-strategist,The Visionary & Strategist,playable,composition-pass,seeded,hold,redirect,constraint,high,field-recompose,reorientation,review,review,no,yes,6,composition-sensitive,broad,medium,medium,low,high,35,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple | fit:insight-low | fit:journey-medium | fit:navicue-medium | fit:practice-high | heat:broad | input:swipe | job:boundary | job:perspective | job:temporal | physics:structural | resolution:field-recompose | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Manual review required before ingest because refinement priority is high.,,,,
177,courage-map,The Courage Map Engine,2,18,visionary-strategist,The Visionary & Strategist,hero-grade,hero-pass,seeded,curation-ready,guide,constraint,high,field-recompose,reorientation,yes,yes,review,yes,8,hero-candidate,high-heat,high,high,medium,high,3,low,,complexity:simple | fit:insight-medium | fit:journey-high | fit:navicue-high | fit:practice-high | heat:high-heat | input:drag | input:tap | job:agency | job:perspective | job:temporal | physics:gravitational | physics:structural | resolution:field-recompose | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. hero-pass with proposed grade hero-grade. Ready for manual curation pass.,,,,
178,abundance-scan,The Abundance Scan Engine,2,18,visionary-strategist,The Visionary & Strategist,playable,composition-pass,seeded,hold,guide,distortion,high,field-recompose,reorientation,review,yes,yes,yes,7,composition-sensitive,low-heat,medium,high,high,high,87,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple | fit:insight-high | fit:journey-high | fit:navicue-medium | fit:practice-high | heat:low-heat | input:drag | job:agency | job:perspective | job:temporal | physics:optical | physics:structural | resolution:field-recompose | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Manual review required before ingest because refinement priority is high.,,,,
179,permissionless,The Permissionless Engine,2,18,visionary-strategist,The Visionary & Strategist,implemented,composition-pass,seeded,hold,hold,distortion,high,field-recompose,reorientation,review,review,review,yes,4,composition-sensitive,low-heat,medium,medium,medium,high,3,high,"Quality likely depends on stronger composition, scale, and payoff.",complexity:simple | fit:insight-medium | fit:journey-medium | fit:navicue-medium | fit:practice-high | heat:low-heat | input:hold | job:identity | job:perspective | job:temporal | physics:optical | physics:structural | resolution:field-recompose | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade implemented. Manual review required before ingest because refinement priority is high.,,,,
180,becoming-seal,The Becoming Seal,2,18,visionary-strategist,The Visionary & Strategist,playable,composition-pass,seeded,hold,guide,constraint,high,seal,closure,review,review,review,yes,6,composition-sensitive,low-heat,medium,medium,medium,high,59,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple | fit:insight-medium | fit:journey-medium | fit:navicue-medium | fit:practice-high | heat:low-heat | input:drag | job:perspective | job:temporal | job:transmutation | physics:structural | physics:temporal | resolution:seal | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Manual review required before ingest because refinement priority is high.,,,,
181,maya-veil,The Maya Veil Engine,2,19,mystic-infinite,The Mystic & Infinite Player,playable,composition-pass,seeded,hold,trigger,distortion,high,state-morph,transformation,review,review,review,yes,6,composition-sensitive,high-heat,medium,medium,medium,high,55,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple | fit:insight-medium | fit:journey-medium | fit:navicue-medium | fit:practice-high | heat:high-heat | input:tap | job:agency | job:identity | job:perspective | physics:acoustic | physics:fluid | physics:optical | resolution:state-morph | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Manual review required before ingest because refinement priority is high.,,,,
182,no-self,The No-Self Engine,2,19,mystic-infinite,The Mystic & Infinite Player,playable,composition-pass,seeded,hold,trigger,distortion,high,state-morph,transformation,review,review,review,yes,6,composition-sensitive,high-heat,medium,medium,medium,high,55,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple | fit:insight-medium | fit:journey-medium | fit:navicue-medium | fit:practice-high | heat:high-heat | input:tap | job:agency | job:identity | job:perspective | physics:acoustic | physics:optical | resolution:state-morph | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Manual review required before ingest because refinement priority is high.,,,,
183,cosmic-joke,The Cosmic Joke Engine,2,19,mystic-infinite,The Mystic & Infinite Player,playable,composition-pass,seeded,hold,guide,distortion,high,state-morph,transformation,review,review,review,yes,6,composition-sensitive,low-heat,medium,medium,medium,high,59,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple | fit:insight-medium | fit:journey-medium | fit:navicue-medium | fit:practice-high | heat:low-heat | input:drag | job:agency | job:identity | job:perspective | physics:acoustic | physics:optical | resolution:state-morph | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Manual review required before ingest because refinement priority is high.,,,,
184,space-between,The Space Between Engine,2,19,mystic-infinite,The Mystic & Infinite Player,hero-grade,hero-pass,seeded,curation-ready,trigger,distortion,high,state-morph,transformation,yes,yes,yes,yes,8,hero-candidate,high-heat,high,high,high,high,5,low,,complexity:simple | fit:insight-high | fit:journey-high | fit:navicue-high | fit:practice-high | heat:high-heat | input:observe | input:tap | job:agency | job:identity | job:perspective | physics:acoustic | physics:optical | resolution:state-morph | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. hero-pass with proposed grade hero-grade. Ready for manual curation pass.,,,,
185,beginners-mind,The Beginner's Mind Engine,2,19,mystic-infinite,The Mystic & Infinite Player,playable,composition-pass,seeded,hold,trace,distortion,high,state-morph,transformation,review,review,yes,yes,7,composition-sensitive,low-heat,medium,medium,high,high,3,medium,"Quality likely depends on stronger composition, scale, and payoff.",complexity:simple | fit:insight-high | fit:journey-medium | fit:navicue-medium | fit:practice-high | heat:low-heat | input:draw | input:swipe | job:agency | job:identity | job:perspective | physics:acoustic | physics:optical | resolution:state-morph | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Ready for manual curation pass.,,,,
186,dance-of-shiva,The Dance of Shiva Engine,2,19,mystic-infinite,The Mystic & Infinite Player,hero-grade,hero-pass,seeded,curation-ready,guide,weight,high,state-morph,transformation,yes,yes,review,yes,8,hero-candidate,broad,high,high,medium,high,8,low,,complexity:simple | fit:insight-medium | fit:journey-high | fit:navicue-high | fit:practice-high | heat:broad | input:drag | input:observe | job:agency | job:identity | job:perspective | physics:acoustic | physics:fluid | physics:gravitational | resolution:state-morph | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. hero-pass with proposed grade hero-grade. Ready for manual curation pass.,,,,
187,unplanned-hour,The Unplanned Hour Engine,2,19,mystic-infinite,The Mystic & Infinite Player,playable,composition-pass,seeded,hold,guide,weight,high,state-morph,transformation,review,review,review,yes,6,composition-sensitive,low-heat,medium,medium,medium,high,1,medium,"Quality likely depends on stronger composition, scale, and payoff.",complexity:simple | fit:insight-medium | fit:journey-medium | fit:navicue-medium | fit:practice-high | heat:low-heat | input:breath | input:drag | input:tap | job:agency | job:perspective | job:temporal | physics:acoustic | physics:gravitational | physics:temporal | resolution:state-morph | sensor:breath | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Ready for manual curation pass.,,,,
188,wonder-walk,The Wonder Walk Engine,2,19,mystic-infinite,The Mystic & Infinite Player,implemented,composition-pass,seeded,hold,guide,distortion,high,loop,clarity,no,yes,yes,review,5,composition-sensitive,low-heat,low,high,high,medium,2,high,"Quality likely depends on stronger composition, scale, and payoff. | No explicit resolution path; wrapper must carry closure.",complexity:simple | fit:insight-high | fit:journey-high | fit:navicue-low | fit:practice-medium | heat:low-heat | input:drag | job:agency | job:focus | job:perspective | physics:acoustic | physics:optical | resolution:loop | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade implemented. Manual review required before ingest because refinement priority is high.,,,,
