number,id,name,collection_number,series_number,series_name,render_mode,default_scale,surfaces,device_requirements,breath_coupling,continuous,has_resolution,structural_score,triage_tier,complexity_band,dominant_inputs,sensory_profile,resolution_profile,therapeutic_jobs,physics_tags,heat_fit,navicue_fit,journey_fit,insight_fit,practice_fit,repetition_cluster_size,refinement_priority,refinement_reasons,matching_tags
195,event-horizon,The Event Horizon Engine,2,20,The Omega & Integration,canvas,full,draggable,haptics,none,false,true,6,composition-sensitive,simple,drag,visual|touch|haptics,seal,perspective|release|temporal,network|optical|subtractive,low-heat,medium,medium,medium,high,59,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple|fit:insight-medium|fit:journey-medium|fit:navicue-medium|fit:practice-high|heat:low-heat|input:drag|job:perspective|job:release|job:temporal|physics:network|physics:optical|physics:subtractive|resolution:seal|sensor:haptics|sensor:touch|sensor:visual
196,alpha-omega,The Alpha Omega Engine,2,20,The Omega & Integration,canvas,focus,draggable,haptics,none,true,true,5,composition-sensitive,simple,drag,visual|touch|haptics,seal,transmutation|boundary|perspective,gravitational|network|optical,low-heat,medium,high,high,high,3,high,"Quality likely depends on stronger composition, scale, and payoff.",complexity:simple|fit:insight-high|fit:journey-high|fit:navicue-medium|fit:practice-high|heat:low-heat|input:drag|job:boundary|job:perspective|job:transmutation|physics:gravitational|physics:network|physics:optical|resolution:seal|sensor:haptics|sensor:touch|sensor:visual
197,circle-close,The Circle Close Engine,2,20,The Omega & Integration,canvas,focus,tappable,haptics,none,false,true,4,composition-sensitive,simple,tap,visual|touch|haptics,seal,connection|perspective|release,network|optical,low-heat,medium,medium,medium,high,3,high,"Quality likely depends on stronger composition, scale, and payoff.",complexity:simple|fit:insight-medium|fit:journey-medium|fit:navicue-medium|fit:practice-high|heat:low-heat|input:tap|job:connection|job:perspective|job:release|physics:network|physics:optical|resolution:seal|sensor:haptics|sensor:touch|sensor:visual
198,final-exhale,The Final Exhale Engine,2,20,The Omega & Integration,canvas,full,holdable,haptics,drives,false,true,7,composition-sensitive,simple,hold|breath,visual|touch|breath|haptics,seal,release|perspective|regulation,network|optical|thermal,high-heat,medium,medium,medium,high,1,medium,"Quality likely depends on stronger composition, scale, and payoff.",complexity:simple|fit:insight-medium|fit:journey-medium|fit:navicue-medium|fit:practice-high|heat:high-heat|input:breath|input:hold|job:perspective|job:regulation|job:release|physics:network|physics:optical|physics:thermal|resolution:seal|sensor:breath|sensor:haptics|sensor:touch|sensor:visual
199,tail-swallow,The Tail Swallow Engine,2,20,The Omega & Integration,canvas,focus,drawable,haptics,none,true,true,5,composition-sensitive,simple,draw,visual|touch|haptics,seal,perspective|release|temporal,network|optical,low-heat,medium,high,high,high,2,high,"Quality likely depends on stronger composition, scale, and payoff.",complexity:simple|fit:insight-high|fit:journey-high|fit:navicue-medium|fit:practice-high|heat:low-heat|input:draw|job:perspective|job:release|job:temporal|physics:network|physics:optical|resolution:seal|sensor:haptics|sensor:touch|sensor:visual
200,atlas-seal,The Atlas Seal,2,20,The Omega & Integration,canvas,point,tappable,haptics,none,false,true,3,likely-underpowered,simple,tap,visual|touch|haptics,seal,focus|perspective|release,optical|network,low-heat,medium,medium,medium,high,1,critical,Engine itself is structurally weak for hero use. | Small hero footprint needs stronger consequence design.,complexity:simple|fit:insight-medium|fit:journey-medium|fit:navicue-medium|fit:practice-high|heat:low-heat|input:tap|job:focus|job:perspective|job:release|physics:network|physics:optical|resolution:seal|sensor:haptics|sensor:touch|sensor:visual
201,theater-lens,The Theater Lens Engine,3,21,The Metacognitive Mirror,canvas,full,pinchable,haptics,none,true,true,7,composition-sensitive,simple,pinch,visual|touch|haptics,field-recompose,perspective|agency|boundary,acoustic|gravitational|optical,low-heat,medium,high,high,high,30,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple|fit:insight-high|fit:journey-high|fit:navicue-medium|fit:practice-high|heat:low-heat|input:pinch|job:agency|job:boundary|job:perspective|physics:acoustic|physics:gravitational|physics:optical|resolution:field-recompose|sensor:haptics|sensor:touch|sensor:visual
202,focal-glass,The Focal Glass Engine,3,21,The Metacognitive Mirror,webgl,full,holdable,haptics,none,true,true,7,composition-sensitive,simple,hold,visual|touch|haptics,field-recompose,perspective|boundary|agency,acoustic|gravitational|network,high-heat,medium,high,high,high,3,medium,"Quality likely depends on stronger composition, scale, and payoff.",complexity:simple|fit:insight-high|fit:journey-high|fit:navicue-medium|fit:practice-high|heat:high-heat|input:hold|job:agency|job:boundary|job:perspective|physics:acoustic|physics:gravitational|physics:network|resolution:field-recompose|sensor:haptics|sensor:touch|sensor:visual
203,syntactic-severance,The Syntactic Severance Engine,3,21,The Metacognitive Mirror,canvas,full,swipeable,haptics,none,false,true,6,composition-sensitive,simple,swipe,visual|touch|haptics,field-recompose,perspective|identity|boundary,gravitational|acoustic|optical,low-heat,medium,medium,medium,high,35,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple|fit:insight-medium|fit:journey-medium|fit:navicue-medium|fit:practice-high|heat:low-heat|input:swipe|job:boundary|job:identity|job:perspective|physics:acoustic|physics:gravitational|physics:optical|resolution:field-recompose|sensor:haptics|sensor:touch|sensor:visual
204,traffic-observer,The Traffic Observer Engine,3,21,The Metacognitive Mirror,canvas,full,observable|holdable,haptics,none,true,true,8,hero-candidate,simple,hold|observe,visual|touch|haptics,field-recompose,perspective|agency|boundary,optical|acoustic|gravitational,high-heat,high,high,high,high,7,low,,complexity:simple|fit:insight-high|fit:journey-high|fit:navicue-high|fit:practice-high|heat:high-heat|input:hold|input:observe|job:agency|job:boundary|job:perspective|physics:acoustic|physics:gravitational|physics:optical|resolution:field-recompose|sensor:haptics|sensor:touch|sensor:visual
205,sky-and-clouds,The Sky and Clouds Engine,3,21,The Metacognitive Mirror,webgl,full,pinchable,haptics,modulates,true,true,8,hero-candidate,simple,pinch|breath,visual|touch|breath|haptics,field-recompose,perspective|agency|boundary,optical|acoustic|gravitational,high-heat,high,high,high,high,1,low,,complexity:simple|fit:insight-high|fit:journey-high|fit:navicue-high|fit:practice-high|heat:high-heat|input:breath|input:pinch|job:agency|job:boundary|job:perspective|physics:acoustic|physics:gravitational|physics:optical|resolution:field-recompose|sensor:breath|sensor:haptics|sensor:touch|sensor:visual
206,empty-boat,The Empty Boat Engine,3,21,The Metacognitive Mirror,canvas,field,tappable,haptics,none,false,true,5,composition-sensitive,simple,tap,visual|touch|haptics,field-recompose,perspective|identity|agency,acoustic|fluid|gravitational,high-heat,medium,medium,low,high,3,high,"Quality likely depends on stronger composition, scale, and payoff.",complexity:simple|fit:insight-low|fit:journey-medium|fit:navicue-medium|fit:practice-high|heat:high-heat|input:tap|job:agency|job:identity|job:perspective|physics:acoustic|physics:fluid|physics:gravitational|resolution:field-recompose|sensor:haptics|sensor:touch|sensor:visual
207,glass-wall,The Glass Wall Engine,3,21,The Metacognitive Mirror,canvas,full,drawable,haptics,none,false,true,6,composition-sensitive,simple,draw,visual|touch|haptics,field-recompose,perspective|boundary|agency,structural|acoustic|gravitational,broad,medium,medium,medium,high,13,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple|fit:insight-medium|fit:journey-medium|fit:navicue-medium|fit:practice-high|heat:broad|input:draw|job:agency|job:boundary|job:perspective|physics:acoustic|physics:gravitational|physics:structural|resolution:field-recompose|sensor:haptics|sensor:touch|sensor:visual
208,echomaker,The Echomaker Engine,3,21,The Metacognitive Mirror,canvas,full,voice,haptics|microphone,none,true,true,8,hero-candidate,simple,voice,visual|haptics|microphone,field-recompose,perspective|boundary|agency,acoustic|network|structural,low-heat,high,high,high,medium,2,low,,complexity:simple|fit:insight-high|fit:journey-high|fit:navicue-high|fit:practice-medium|heat:low-heat|input:voice|job:agency|job:boundary|job:perspective|physics:acoustic|physics:network|physics:structural|resolution:field-recompose|sensor:haptics|sensor:microphone|sensor:visual
209,holographic-parallax,The Holographic Parallax Engine,3,21,The Metacognitive Mirror,canvas,full,gyroscopic,haptics|gyroscope,none,true,true,8,hero-candidate,simple,tilt,visual|haptics|tilt,field-recompose,perspective|agency|boundary,thermal|acoustic|gravitational,low-heat,high,high,medium,medium,7,low,,complexity:simple|fit:insight-medium|fit:journey-high|fit:navicue-high|fit:practice-medium|heat:low-heat|input:tilt|job:agency|job:boundary|job:perspective|physics:acoustic|physics:gravitational|physics:thermal|resolution:field-recompose|sensor:haptics|sensor:tilt|sensor:visual
210,observer-seal,The Observer Seal,3,21,The Metacognitive Mirror,canvas,full,holdable,haptics,none,true,true,7,composition-sensitive,simple,hold,visual|touch|haptics,seal,perspective|regulation|agency,structural|acoustic|gravitational,high-heat,medium,high,medium,high,28,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple|fit:insight-medium|fit:journey-high|fit:navicue-medium|fit:practice-high|heat:high-heat|input:hold|job:agency|job:perspective|job:regulation|physics:acoustic|physics:gravitational|physics:structural|resolution:seal|sensor:haptics|sensor:touch|sensor:visual
211,semantic-stripping,The Semantic Stripping Engine,3,22,The Predictive Override,canvas,full,holdable,haptics,none,true,true,7,composition-sensitive,simple,hold,visual|touch|haptics,field-recompose,transmutation|agency|focus,optical|network|subtractive,high-heat,medium,medium,high,high,28,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple|fit:insight-high|fit:journey-medium|fit:navicue-medium|fit:practice-high|heat:high-heat|input:hold|job:agency|job:focus|job:transmutation|physics:network|physics:optical|physics:subtractive|resolution:field-recompose|sensor:haptics|sensor:touch|sensor:visual
212,raw-data,The Raw Data Engine,3,22,The Predictive Override,webgl,full,scrubable,haptics|camera,none,true,true,8,hero-candidate,moderate,scrub,visual|touch|haptics|camera,field-recompose,temporal|agency|focus,optical|temporal|network,low-heat,high,high,high,medium,1,low,,complexity:moderate|fit:insight-high|fit:journey-high|fit:navicue-high|fit:practice-medium|heat:low-heat|input:scrub|job:agency|job:focus|job:temporal|physics:network|physics:optical|physics:temporal|resolution:field-recompose|sensor:camera|sensor:haptics|sensor:touch|sensor:visual
213,color-deconstruct,The Color Deconstruct Engine,3,22,The Predictive Override,canvas,full,tappable,haptics,none,false,true,6,composition-sensitive,simple,tap,visual|touch|haptics,field-recompose,agency|boundary|focus,optical|network|subtractive,high-heat,medium,low,medium,high,55,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple|fit:insight-medium|fit:journey-low|fit:navicue-medium|fit:practice-high|heat:high-heat|input:tap|job:agency|job:boundary|job:focus|physics:network|physics:optical|physics:subtractive|resolution:field-recompose|sensor:haptics|sensor:touch|sensor:visual
214,taste-explode,The Taste Explode Engine,3,22,The Predictive Override,canvas,full,holdable|pressure-sensitive,haptics,none,true,true,8,hero-candidate,simple,hold,visual|touch|haptics,field-recompose,agency|focus|perspective,optical|gravitational|network,high-heat,high,high,high,high,4,low,,complexity:simple|fit:insight-high|fit:journey-high|fit:navicue-high|fit:practice-high|heat:high-heat|input:hold|job:agency|job:focus|job:perspective|physics:gravitational|physics:network|physics:optical|resolution:field-recompose|sensor:haptics|sensor:touch|sensor:visual
215,acoustic-unnaming,The Acoustic Un-Naming Engine,3,22,The Predictive Override,canvas,full,pinchable|voice,haptics|microphone,none,true,true,9,hero-candidate,moderate,voice|pinch,visual|touch|haptics|microphone,field-recompose,temporal|agency|focus,optical|temporal|acoustic,low-heat,signature,high,high,medium,1,low,,complexity:moderate|fit:insight-high|fit:journey-high|fit:navicue-signature|fit:practice-medium|heat:low-heat|input:pinch|input:voice|job:agency|job:focus|job:temporal|physics:acoustic|physics:optical|physics:temporal|resolution:field-recompose|sensor:haptics|sensor:microphone|sensor:touch|sensor:visual
216,tabula-rasa,The Tabula Rasa Engine,3,22,The Predictive Override,canvas,full,drawable,haptics,none,true,true,7,composition-sensitive,simple,draw,visual|touch|haptics,field-recompose,focus|identity|agency,optical|subtractive|network,low-heat,medium,medium,high,high,11,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple|fit:insight-high|fit:journey-medium|fit:navicue-medium|fit:practice-high|heat:low-heat|input:draw|job:agency|job:focus|job:identity|physics:network|physics:optical|physics:subtractive|resolution:field-recompose|sensor:haptics|sensor:touch|sensor:visual
217,wabi-sabi,The Wabi-Sabi Engine,3,22,The Predictive Override,svg,focus,tappable|draggable,haptics,none,false,true,5,composition-sensitive,simple,drag|tap,visual|touch|haptics,field-recompose,agency|focus|identity,optical|network|subtractive,low-heat,medium,low,medium,high,1,high,"Quality likely depends on stronger composition, scale, and payoff.",complexity:simple|fit:insight-medium|fit:journey-low|fit:navicue-medium|fit:practice-high|heat:low-heat|input:drag|input:tap|job:agency|job:focus|job:identity|physics:network|physics:optical|physics:subtractive|resolution:field-recompose|sensor:haptics|sensor:touch|sensor:visual
218,somatic-trust,The Somatic Trust Engine,3,22,The Predictive Override,canvas,full,gyroscopic|observable,haptics|gyroscope,none,false,true,8,hero-candidate,moderate,tilt|observe,visual|haptics|tilt,field-recompose,transmutation|agency|focus,optical|subtractive|acoustic,low-heat,high,low,high,medium,2,low,,complexity:moderate|fit:insight-high|fit:journey-low|fit:navicue-high|fit:practice-medium|heat:low-heat|input:observe|input:tilt|job:agency|job:focus|job:transmutation|physics:acoustic|physics:optical|physics:subtractive|resolution:field-recompose|sensor:haptics|sensor:tilt|sensor:visual
219,texture-touch,The Texture Touch Engine,3,22,The Predictive Override,canvas,full,draggable|pressure-sensitive,haptics,none,true,false,6,composition-sensitive,simple,drag,visual|touch|haptics,loop,agency|focus|perspective,optical|network|subtractive,low-heat,medium,high,high,medium,1,high,"Quality likely depends on stronger composition, scale, and payoff. | No explicit resolution path; wrapper must carry closure.",complexity:simple|fit:insight-high|fit:journey-high|fit:navicue-medium|fit:practice-medium|heat:low-heat|input:drag|job:agency|job:focus|job:perspective|physics:network|physics:optical|physics:subtractive|resolution:loop|sensor:haptics|sensor:touch|sensor:visual
220,perception-seal,The Perception Seal,3,22,The Predictive Override,canvas,focus,holdable,haptics,none,true,true,5,composition-sensitive,simple,hold,visual|touch|haptics,seal,agency|focus|perspective,optical|network|structural,low-heat,medium,high,high,high,2,high,"Quality likely depends on stronger composition, scale, and payoff.",complexity:simple|fit:insight-high|fit:journey-high|fit:navicue-medium|fit:practice-high|heat:low-heat|input:hold|job:agency|job:focus|job:perspective|physics:network|physics:optical|physics:structural|resolution:seal|sensor:haptics|sensor:touch|sensor:visual
221,binary-breaker,The Binary Breaker Engine,3,23,The Fluidity Mechanics,webgl,full,draggable|swipeable,haptics,none,true,true,8,hero-candidate,moderate,swipe|drag,visual|touch|haptics,field-recompose,transmutation|release|agency,fluid|network|gravitational,mid-heat,high,high,medium,high,1,low,,complexity:moderate|fit:insight-medium|fit:journey-high|fit:navicue-high|fit:practice-high|heat:mid-heat|input:drag|input:swipe|job:agency|job:release|job:transmutation|physics:fluid|physics:gravitational|physics:network|resolution:field-recompose|sensor:haptics|sensor:touch|sensor:visual
222,water-mode,The Water Mode Engine,3,23,The Fluidity Mechanics,canvas,full,holdable|gyroscopic,haptics|gyroscope,none,true,true,9,hero-candidate,moderate,tilt|hold,visual|touch|haptics|tilt,field-recompose,transmutation|identity|release,fluid|gravitational|network,low-heat,signature,high,high,medium,1,low,,complexity:moderate|fit:insight-high|fit:journey-high|fit:navicue-signature|fit:practice-medium|heat:low-heat|input:hold|input:tilt|job:identity|job:release|job:transmutation|physics:fluid|physics:gravitational|physics:network|resolution:field-recompose|sensor:haptics|sensor:tilt|sensor:touch|sensor:visual
223,identity-fluidity,The Identity Fluidity Engine,3,23,The Fluidity Mechanics,canvas,full,draggable,haptics,none,false,true,6,composition-sensitive,simple,drag,visual|touch|haptics,field-recompose,transmutation|agency|release,fluid|gravitational|network,broad,medium,medium,low,high,59,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple|fit:insight-low|fit:journey-medium|fit:navicue-medium|fit:practice-high|heat:broad|input:drag|job:agency|job:release|job:transmutation|physics:fluid|physics:gravitational|physics:network|resolution:field-recompose|sensor:haptics|sensor:touch|sensor:visual
224,harmonic-synthesis,The Harmonic Synthesis Engine,3,23,The Fluidity Mechanics,canvas,full,draggable,haptics,none,true,true,7,composition-sensitive,simple,drag,visual|touch|haptics,state-morph,transmutation|release|agency,fluid|gravitational|network,broad,medium,high,medium,high,87,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple|fit:insight-medium|fit:journey-high|fit:navicue-medium|fit:practice-high|heat:broad|input:drag|job:agency|job:release|job:transmutation|physics:fluid|physics:gravitational|physics:network|resolution:state-morph|sensor:haptics|sensor:touch|sensor:visual
225,wu-wei,The Wu Wei Engine,3,23,The Fluidity Mechanics,canvas,full,draggable|observable,haptics,none,true,true,8,hero-candidate,simple,drag|observe,visual|touch|haptics,field-recompose,release|transmutation|agency,fluid|gravitational|network,mid-heat,high,high,medium,high,8,low,,complexity:simple|fit:insight-medium|fit:journey-high|fit:navicue-high|fit:practice-high|heat:mid-heat|input:drag|input:observe|job:agency|job:release|job:transmutation|physics:fluid|physics:gravitational|physics:network|resolution:field-recompose|sensor:haptics|sensor:touch|sensor:visual
226,thawing,The Thawing Engine,3,23,The Fluidity Mechanics,webgl,full,holdable|pressure-sensitive,haptics,none,true,true,8,hero-candidate,moderate,hold,visual|touch|haptics,field-recompose,release|transmutation|agency,fluid|thermal|gravitational,high-heat,high,high,low,high,1,low,,complexity:moderate|fit:insight-low|fit:journey-high|fit:navicue-high|fit:practice-high|heat:high-heat|input:hold|job:agency|job:release|job:transmutation|physics:fluid|physics:gravitational|physics:thermal|resolution:field-recompose|sensor:haptics|sensor:touch|sensor:visual
227,proteus,The Proteus Engine,3,23,The Fluidity Mechanics,canvas,full,draggable,haptics,none,false,true,6,composition-sensitive,simple,drag,visual|touch|haptics,seal,transmutation|release|agency,fluid|structural|gravitational,broad,medium,medium,low,high,59,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple|fit:insight-low|fit:journey-medium|fit:navicue-medium|fit:practice-high|heat:broad|input:drag|job:agency|job:release|job:transmutation|physics:fluid|physics:gravitational|physics:structural|resolution:seal|sensor:haptics|sensor:touch|sensor:visual
228,ocean-depth,The Ocean Depth Engine,3,23,The Fluidity Mechanics,webgl,full,scrubable,haptics,modulates,true,true,8,hero-candidate,simple,scrub|breath,visual|touch|breath|haptics,field-recompose,transmutation|release|agency,fluid|acoustic|gravitational,high-heat,high,high,low,high,1,low,,complexity:simple|fit:insight-low|fit:journey-high|fit:navicue-high|fit:practice-high|heat:high-heat|input:breath|input:scrub|job:agency|job:release|job:transmutation|physics:acoustic|physics:fluid|physics:gravitational|resolution:field-recompose|sensor:breath|sensor:haptics|sensor:touch|sensor:visual
229,complexity-breath,The Complexity Breath Engine,3,23,The Fluidity Mechanics,canvas,full,breathable|voice,haptics|microphone,drives,true,false,8,hero-candidate,moderate,voice|breath,visual|breath|haptics|microphone,loop,regulation|transmutation|release,fluid|gravitational|network,low-heat,high,high,medium,medium,2,medium,No explicit resolution path; wrapper must carry closure.,complexity:moderate|fit:insight-medium|fit:journey-high|fit:navicue-high|fit:practice-medium|heat:low-heat|input:breath|input:voice|job:regulation|job:release|job:transmutation|physics:fluid|physics:gravitational|physics:network|resolution:loop|sensor:breath|sensor:haptics|sensor:microphone|sensor:visual
230,shifter-seal,The Shifter Seal,3,23,The Fluidity Mechanics,canvas,full,holdable,haptics,none,true,true,7,composition-sensitive,simple,hold,visual|touch|haptics,seal,release|transmutation|agency,fluid|structural|gravitational,high-heat,medium,high,low,high,28,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple|fit:insight-low|fit:journey-high|fit:navicue-medium|fit:practice-high|heat:high-heat|input:hold|job:agency|job:release|job:transmutation|physics:fluid|physics:gravitational|physics:structural|resolution:seal|sensor:haptics|sensor:touch|sensor:visual
231,indra-node,The Indra Node Engine,3,24,The Net of Indra,webgl,field,tappable,haptics,none,false,true,5,composition-sensitive,simple,tap,visual|touch|haptics,field-recompose,connection|agency,network|acoustic|gravitational,high-heat,medium,low,low,high,1,high,"Quality likely depends on stronger composition, scale, and payoff.",complexity:simple|fit:insight-low|fit:journey-low|fit:navicue-medium|fit:practice-high|heat:high-heat|input:tap|job:agency|job:connection|physics:acoustic|physics:gravitational|physics:network|resolution:field-recompose|sensor:haptics|sensor:touch|sensor:visual
232,mutual-respiration,The Mutual Respiration Engine,3,24,The Net of Indra,canvas,full,breathable|voice,haptics|microphone,drives,true,false,8,hero-candidate,moderate,voice|breath,visual|breath|haptics|microphone,loop,connection|regulation|agency,topological|network|acoustic,low-heat,high,high,medium,medium,2,medium,No explicit resolution path; wrapper must carry closure.,complexity:moderate|fit:insight-medium|fit:journey-high|fit:navicue-high|fit:practice-medium|heat:low-heat|input:breath|input:voice|job:agency|job:connection|job:regulation|physics:acoustic|physics:network|physics:topological|resolution:loop|sensor:breath|sensor:haptics|sensor:microphone|sensor:visual
233,mycelium-network,The Mycelium Network Engine,3,24,The Net of Indra,canvas,full,draggable|pinchable,haptics,none,true,true,8,hero-candidate,simple,pinch|drag,visual|touch|haptics,field-recompose,connection|regulation|agency,network|gravitational|acoustic,mid-heat,high,high,medium,high,6,low,,complexity:simple|fit:insight-medium|fit:journey-high|fit:navicue-high|fit:practice-high|heat:mid-heat|input:drag|input:pinch|job:agency|job:connection|job:regulation|physics:acoustic|physics:gravitational|physics:network|resolution:field-recompose|sensor:haptics|sensor:touch|sensor:visual
234,dmn-deactivation,The DMN Deactivation Engine,3,24,The Net of Indra,canvas,full,tappable,haptics,none,false,true,6,composition-sensitive,simple,tap,visual|touch|haptics,state-morph,connection|identity|agency,network|acoustic|fluid,high-heat,medium,low,medium,high,55,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple|fit:insight-medium|fit:journey-low|fit:navicue-medium|fit:practice-high|heat:high-heat|input:tap|job:agency|job:connection|job:identity|physics:acoustic|physics:fluid|physics:network|resolution:state-morph|sensor:haptics|sensor:touch|sensor:visual
235,echo-chamber,The Echo Chamber Engine,3,24,The Net of Indra,canvas,full,tappable,haptics,none,false,true,6,composition-sensitive,simple,tap,visual|touch|haptics,field-recompose,connection|agency|boundary,network|acoustic|gravitational,high-heat,medium,low,low,high,55,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple|fit:insight-low|fit:journey-low|fit:navicue-medium|fit:practice-high|heat:high-heat|input:tap|job:agency|job:boundary|job:connection|physics:acoustic|physics:gravitational|physics:network|resolution:field-recompose|sensor:haptics|sensor:touch|sensor:visual
236,murmuration,The Murmuration Engine,3,24,The Net of Indra,canvas,field,draggable,haptics,none,true,true,6,composition-sensitive,simple,drag,visual|touch|haptics,field-recompose,connection|boundary|agency,network|acoustic|fluid,broad,medium,medium,medium,high,4,medium,"Quality likely depends on stronger composition, scale, and payoff.",complexity:simple|fit:insight-medium|fit:journey-medium|fit:navicue-medium|fit:practice-high|heat:broad|input:drag|job:agency|job:boundary|job:connection|physics:acoustic|physics:fluid|physics:network|resolution:field-recompose|sensor:haptics|sensor:touch|sensor:visual
237,gravity-well,The Gravity Well Engine,3,24,The Net of Indra,canvas,field,draggable,haptics,none,true,true,6,composition-sensitive,simple,drag,visual|touch|haptics,field-recompose,connection|agency,gravitational|network|acoustic,broad,medium,medium,medium,high,4,medium,"Quality likely depends on stronger composition, scale, and payoff.",complexity:simple|fit:insight-medium|fit:journey-medium|fit:navicue-medium|fit:practice-high|heat:broad|input:drag|job:agency|job:connection|physics:acoustic|physics:gravitational|physics:network|resolution:field-recompose|sensor:haptics|sensor:touch|sensor:visual
238,butterfly-effect,The Butterfly Effect Engine,3,24,The Net of Indra,canvas,full,scrubable,haptics,none,true,true,7,composition-sensitive,simple,scrub,visual|touch|haptics,field-recompose,connection|agency,network|acoustic|gravitational,broad,medium,medium,medium,high,12,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple|fit:insight-medium|fit:journey-medium|fit:navicue-medium|fit:practice-high|heat:broad|input:scrub|job:agency|job:connection|physics:acoustic|physics:gravitational|physics:network|resolution:field-recompose|sensor:haptics|sensor:touch|sensor:visual
239,interference-pattern,The Interference Pattern Engine,3,24,The Net of Indra,canvas,full,tappable,haptics,none,true,true,7,composition-sensitive,simple,tap,visual|touch|haptics,field-recompose,connection|agency,acoustic|network|gravitational,high-heat,medium,medium,medium,high,1,medium,"Quality likely depends on stronger composition, scale, and payoff.",complexity:simple|fit:insight-medium|fit:journey-medium|fit:navicue-medium|fit:practice-high|heat:high-heat|input:tap|job:agency|job:connection|physics:acoustic|physics:gravitational|physics:network|resolution:field-recompose|sensor:haptics|sensor:touch|sensor:visual
240,cosmic-tapestry-seal,The Cosmic Tapestry Seal,3,24,The Net of Indra,webgl,full,draggable|pinchable,haptics,none,false,true,7,composition-sensitive,moderate,pinch|drag,visual|touch|haptics,seal,connection|agency|boundary,network|gravitational|acoustic,broad,medium,low,medium,high,1,medium,"Quality likely depends on stronger composition, scale, and payoff.",complexity:moderate|fit:insight-medium|fit:journey-low|fit:navicue-medium|fit:practice-high|heat:broad|input:drag|input:pinch|job:agency|job:boundary|job:connection|physics:acoustic|physics:gravitational|physics:network|resolution:seal|sensor:haptics|sensor:touch|sensor:visual
241,tensegrity,The Tensegrity Engine,3,25,The Dialectical Engine,canvas,focus,draggable,haptics,none,true,true,5,composition-sensitive,simple,drag,visual|touch|haptics,field-recompose,perspective,topological|acoustic|gravitational,low-heat,medium,high,high,high,3,high,"Quality likely depends on stronger composition, scale, and payoff.",complexity:simple|fit:insight-high|fit:journey-high|fit:navicue-medium|fit:practice-high|heat:low-heat|input:drag|job:perspective|physics:acoustic|physics:gravitational|physics:topological|resolution:field-recompose|sensor:haptics|sensor:touch|sensor:visual
242,both-and,The Both/And Engine,3,25,The Dialectical Engine,canvas,full,draggable,haptics,none,false,true,6,composition-sensitive,simple,drag,visual|touch|haptics,field-recompose,boundary|perspective,topological|optical|acoustic,low-heat,medium,medium,medium,high,59,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple|fit:insight-medium|fit:journey-medium|fit:navicue-medium|fit:practice-high|heat:low-heat|input:drag|job:boundary|job:perspective|physics:acoustic|physics:optical|physics:topological|resolution:field-recompose|sensor:haptics|sensor:touch|sensor:visual
243,zen-koan,The Zen Koan Engine,3,25,The Dialectical Engine,canvas,focus,draggable|tappable,haptics,none,false,true,5,composition-sensitive,simple,drag|tap,visual|touch|haptics,field-recompose,agency|perspective|release,topological|acoustic|optical,low-heat,medium,medium,medium,high,1,high,"Quality likely depends on stronger composition, scale, and payoff.",complexity:simple|fit:insight-medium|fit:journey-medium|fit:navicue-medium|fit:practice-high|heat:low-heat|input:drag|input:tap|job:agency|job:perspective|job:release|physics:acoustic|physics:optical|physics:topological|resolution:field-recompose|sensor:haptics|sensor:touch|sensor:visual
244,complementary-color,The Complementary Color Engine,3,25,The Dialectical Engine,canvas,full,draggable|scrubable,haptics,none,true,true,8,hero-candidate,simple,scrub|drag,visual|touch|haptics,field-recompose,perspective|regulation,topological|optical|acoustic,low-heat,high,high,high,high,6,low,,complexity:simple|fit:insight-high|fit:journey-high|fit:navicue-high|fit:practice-high|heat:low-heat|input:drag|input:scrub|job:perspective|job:regulation|physics:acoustic|physics:optical|physics:topological|resolution:field-recompose|sensor:haptics|sensor:touch|sensor:visual
